title,artist,id,uri,labels,distances
crushcrushcrush,Paramore,3VA4sjTMSTTF02hFGmlpJh,spotify:track:3VA4sjTMSTTF02hFGmlpJh,0,0.45979614885248044
End of Time,Arc North,0eey1qkbAYy8j8Z51MlvAU,spotify:track:0eey1qkbAYy8j8Z51MlvAU,0,0.4609251889628465
C U Again,Cartoon,4zsxBgPkUFYEoOGDncGIBd,spotify:track:4zsxBgPkUFYEoOGDncGIBd,0,0.46142957728198153
the depths,cleopatrick,0p12YDbEFWf4joFeTMvgtF,spotify:track:0p12YDbEFWf4joFeTMvgtF,0,0.4616475491895379
Afterbloom (feat. Deza),MOTi,6DploCSZVf5gvIP7WBBU6S,spotify:track:6DploCSZVf5gvIP7WBBU6S,0,0.4657553566177866
Sad B*tch,Borgore,12HbZSQSoTtdbPNokldUCG,spotify:track:12HbZSQSoTtdbPNokldUCG,0,0.4684443481997888
Void,Pouya,4UYQHTgOlSdaQWfUTAjpop,spotify:track:4UYQHTgOlSdaQWfUTAjpop,0,0.47134608539293255
Halos - Edit,Frontliner,3ZofBN4FoNuRlBqRN2q9Mg,spotify:track:3ZofBN4FoNuRlBqRN2q9Mg,0,0.473449246035056
Show Some Teeth,Sullivan King,6UBVCjKn8zahjUqxopnKRD,spotify:track:6UBVCjKn8zahjUqxopnKRD,0,0.4778198195562429
Before The Storm,Kayzo,2p74LHxhjmrvR3hJmn4e4F,spotify:track:2p74LHxhjmrvR3hJmn4e4F,0,0.4812495964648632
Sad Machine,KLOUD,10eWcGsvKXrLYVVBFSvI8G,spotify:track:10eWcGsvKXrLYVVBFSvI8G,0,0.482666886425279
Ask Yourself,Fancy Monster,6UkGChbUEn77IzMwBV08mW,spotify:track:6UkGChbUEn77IzMwBV08mW,0,0.4843599416586425
LITM (feat. Kat Nestel) - M35 Remix,LUMBERJVCK,0xSyVJJDm38MkniDX44cnd,spotify:track:0xSyVJJDm38MkniDX44cnd,0,0.48740601615152285
Close To The Sun,TheFatRat,7CQjnYsGLdtcrsp95oBpCv,spotify:track:7CQjnYsGLdtcrsp95oBpCv,0,0.4883411035042809
Fight Me,Megalodon,4Enymf94hmYbiwrpIUtd8f,spotify:track:4Enymf94hmYbiwrpIUtd8f,0,0.49071589284021155
Drowning (ASOT 825),Orjan Nilsen,5vzQOakBMtLny1ffjyURBn,spotify:track:5vzQOakBMtLny1ffjyURBn,0,0.49345542744463516
Electronic Memories (feat. Mickey Kojak),k?d,2viJufnGlsjR1X51CEHpeg,spotify:track:2viJufnGlsjR1X51CEHpeg,0,0.4940805485637535
Another Me (with Dylan Matthew),Seven Lions,6sLohu3lQbmMhYVnb6OTvw,spotify:track:6sLohu3lQbmMhYVnb6OTvw,0,0.49705930095525486
Another Me,Excision,0fDcmZmYUwo1OxiAS1XDN2,spotify:track:0fDcmZmYUwo1OxiAS1XDN2,0,0.49705930095525486
